Player,Squad,Pos,PosAdj,Rol_Ideal,Rating_Final,R_FW_ST,R_FW_WG,R_FW_SS,R_DC,R_LB_OFF
Thiago Silva,Chelsea,DF,DF,DC,67.05499999999999,63.81250000000001,49.800999999999995,56.232000000000006,67.05499999999999,57.8425
James Justin,Leicester City,DF,DF,LB_OFF,67.01249999999999,82.33,78.36800000000001,84.181,31.62500000000001,67.01249999999999
Jannik Vestergaard,Southampton,DF,DF,DC,66.94000000000001,67.82749999999999,56.032999999999994,59.788,66.94000000000001,60.1975
Joe Bryan,Fulham,DFMF,DM,LB_OFF,66.7625,65.1675,67.37200000000001,67.52700000000002,51.14,66.7625
Harrison Reed,Fulham,MF,MF,MC_DEF,66.695,29.472500000000004,31.240999999999996,35.653,63.23999999999999,57.935
Anthony Martial,Manchester Utd,FW,FW,FW_SS,66.493,58.99500000000001,62.94149999999999,66.493,32.425,50.8
Matty Cash,Aston Villa,DF,DF,LB_OFF,66.3325,40.8025,52.792500000000004,59.323,47.474999999999994,66.3325
Granit Xhaka,Arsenal,MFDF,DM,MC_DEF,66.31,47.71000000000001,41.5975,49.291,53.895,56.26749999999999
Timothy Castagne,Leicester City,DF,DF,LB_OFF,66.27499999999999,69.8675,65.19649999999999,72.343,34.589999999999996,66.27499999999999
Christian Fuchs,Leicester City,DF,DF,DC,66.24499999999999,21.014999999999997,24.845,28.836,66.24499999999999,54.6825
Bukayo Saka,Arsenal,FWMF,AM,FW_SS,66.222,68.8875,63.42600000000001,66.222,43.52000000000001,60.6675
Sergio Reguilón,Tottenham,DF,DF,LB_OFF,66.05250000000001,60.527499999999996,64.839,69.84800000000001,30.410000000000004,66.05250000000001
Dele Alli,Tottenham,MF,MF,AM,65.85749999999999,63.4025,55.7855,61.05900000000001,38.1,57.394999999999996
Kenny Tete,Fulham,DFMF,DM,LB_OFF,65.725,46.12500000000001,45.776999999999994,54.52,62.31,65.725
Joe Rodon,Tottenham,DF,DF,DC,65.19000000000001,11.295000000000002,11.551499999999999,10.113,65.19000000000001,27.6175
Calum Chambers,Arsenal,DF,DF,LB_OFF,65.0025,65.90249999999999,60.2085,70.937,37.74,65.0025
Nathaniel Phillips,Liverpool,DF,DF,DC,64.6,57.37500000000001,43.741499999999995,48.913000000000025,64.6,48.2275
Martinelli,Arsenal,FW,FW,FW_SS,64.581,63.79,63.13899999999999,64.581,50.04999999999999,59.885
Diego Llorente,Leeds United,DF,DF,LB_DEF,64.4075,55.06500000000002,44.1515,44.008,58.410000000000004,44.655
Kalvin Phillips,Leeds United,MF,MF,MC_EST,64.235,36.765,40.99449999999999,46.96,73.08500000000001,61.9575
Gabriel Jesus,Manchester City,FW,FW,FW_SS,64.09700000000001,63.225,62.216499999999996,64.09700000000001,43.345,56.145
Ollie Watkins,Aston Villa,FW,FW,FW_ST,63.934999999999995,63.934999999999995,55.62949999999999,59.214,40.77499999999999,46.225
Willian,Arsenal,FW,FW,FW_SS,63.911,39.5,48.70550000000001,63.911,61.330000000000005,83.5675
Antonio Rüdiger,Chelsea,DF,DF,LB_DEF,63.572500000000005,59.785000000000004,51.709999999999994,54.663,61.93,60.105000000000004
Allan Saint-Maximin,Newcastle Utd,FWMF,AM,FW_WG,63.54800000000001,58.18000000000001,63.54800000000001,63.45600000000001,32.15999999999999,49.459999999999994
Romain Saïss,Wolves,DF,DF,LB_OFF,63.52499999999999,69.42999999999999,60.079499999999996,58.537,62.32999999999999,63.52499999999999
Alexandre Lacazette,Arsenal,FW,FW,FW_ST,63.4775,63.4775,53.2085,58.92100000000001,51.365,53.4
Cédric Soares,Arsenal,DF,DF,LB_OFF,63.39249999999999,55.032500000000006,64.199,70.554,19.429999999999996,63.39249999999999
Charlie Taylor,Burnley,DF,DF,LB_OFF,63.2325,38.9175,55.775,59.52000000000001,38.51000000000001,63.2325
Oliver Norwood,Sheffield Utd,MF,MF,MC_EST,63.19999999999999,27.377500000000005,28.683500000000002,38.43200000000001,62.285000000000004,62.42499999999999
Wilfried Zaha,Crystal Palace,FW,FW,FW_SS,62.845,48.654999999999994,57.30200000000001,62.845,38.364999999999995,67.3825
Kyle Walker-Peters,Southampton,DF,DF,LB_OFF,62.8275,58.684999999999995,65.9865,69.85799999999999,34.875000000000014,62.8275
Harvey Barnes,Leicester City,FWMF,AM,FW_WG,62.691500000000005,74.7775,62.691500000000005,61.511,40.21,38.39
Tosin Adarabioyo,Fulham,DF,DF,DC,62.69,34.904999999999994,32.167,32.71,62.69,37.02000000000001
Marcos Alonso,Chelsea,DF,DF,LB_OFF,62.59000000000001,93.2725,77.65599999999999,84.59400000000001,34.195,62.59000000000001
Jack Stephens,Southampton,DF,DF,LB_DEF,62.467499999999994,41.50500000000001,39.935,47.86000000000001,57.11,58.495
Lucas Digne,Everton,DFMF,DM,LB_OFF,62.425,54.955,50.84899999999999,60.288,54.33,62.425
Matt Doherty,Tottenham,DF,DF,LB_OFF,62.37,55.4075,58.740500000000004,64.455,50.94,62.37
Edinson Cavani,Manchester Utd,FW,FW,FW_ST,62.362500000000004,62.362500000000004,45.470000000000006,46.415000000000006,50.255,44.695
Arthur Masuaku,West Ham,DFMF,DM,LB_OFF,62.305,60.050000000000004,68.981,74.21600000000001,32.855,62.305
Érik Lamela,Tottenham,FWMF,AM,FW_SS,62.27500000000001,53.55,60.212999999999994,62.27500000000001,47.845,63.9475
Andreas Christensen,Chelsea,DF,DF,DC,62.27499999999999,32.415,40.68949999999999,45.833000000000006,62.27499999999999,51.582499999999996
