Temporada,Jugador,Destino,RTG,SVD (€M),Costo Real (€M),Desviación %,Clasificación
2020,Matteo Politano,Napoli,72.4,26.0,22.1,17.6,🔵 Negocio Favorable (Leve Gema)
2020,Mitchel Bakker,Leverkusen,72.3,18.9,7.0,170.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Baptiste Santamaria,Stade Rennais,72.0,23.9,14.0,71.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Juan Foyth,Villarreal,72.0,20.4,15.0,36.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Lyanco,Southampton,71.7,22.1,7.5,194.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Mehdi Abeid,Al-Nasr,71.6,17.3,1.5,1052.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Andrés Cubas,Vancouver,71.4,19.4,2.7,611.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Sandro Tonali,AC Milan,71.4,20.0,14.3,40.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Imran Louza,Watford,70.8,18.8,10.0,87.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Birger Meling,Stade Rennais,70.7,18.1,3.0,503.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Pasquale Schiattarella,Parma,70.5,21.2,0.2,8741.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Matheus Pereira,Al-Hilal,70.4,27.8,18.0,54.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Weston McKennie,Juventus,70.3,19.4,21.9,-11.6,🟢 Categoría A: Tasación de Precisión
2020,Maxime Lopez,Sassuolo,70.0,19.2,2.5,669.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Ante Budimir,CA Osasuna,69.9,20.3,8.0,153.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Adama Soumaoro,Bologna,69.7,18.1,2.1,760.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Martin Ødegaard,Arsenal,69.5,14.3,35.0,-59.1,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2020,Matheus Cunha,Atlético,69.2,20.6,35.0,-41.0,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2020,Gaël Kakuta,Lens,69.2,18.1,5.0,261.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Victorien Angban,FK Sochi,69.1,14.7,4.1,258.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Ivan Ilić,Hellas Verona,68.8,17.3,7.5,130.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Felipe,Lazio,68.8,17.5,3.0,482.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Marlon,Shakhtar D.,68.6,16.5,12.0,37.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Jack Harrison,Leeds,68.3,23.9,12.8,86.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Saïd Benrahma,West Ham,68.2,19.5,23.1,-15.8,🟠 Ligero Sobreprecio
2020,Kevin Möhwald,Union Berlin,67.9,15.3,1.0,1433.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Takehiro Tomiyasu,Arsenal,67.9,17.6,18.6,-5.4,🟢 Categoría A: Tasación de Precisión
2020,Felipe Caicedo,Genoa,67.5,10.4,2.0,419.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Ben White,Arsenal,67.3,20.8,58.5,-64.5,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2021,Bruno Guimarães,Newcastle,90.6,74.5,42.1,77.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Aurélien Tchouaméni,Real Madrid,90.2,86.4,80.0,8.0,🟢 Categoría A: Tasación de Precisión
2021,Casemiro,Man Utd,90.2,96.9,70.7,37.1,💎 Categoría B: Ineficiencia Explotada (Gema)
